State,District,Year,Crop,Annual_Rainfall_mm,Avg_Market_Price,ΣΚ (mg/kg),ΣΝ (mg/kg),ΣΡ (mg/kg),ΣΡΗ,Soil_Type,Yield_Ton_per_Ha,Profitability_Score
Gujarat,District A,2017,Wheat,938.6,4673.88,394.17,125.87,82.16,8.47,Sandy,4.64,6.24
Gujarat,District A,2017,Rice,1731.6,1915.56,369.6,64.12,141.11,8.03,Silty,2.99,67.71
Gujarat,District A,2017,Maize,1658.4,3629.46,347.09,164.08,180.94,6.99,Clay,4.03,58.92
Gujarat,District A,2017,Sugarcane,1181.6,4853.15,185.43,52.67,159.78,7.96,Clay,4.18,64.22
Gujarat,District A,2017,Cotton,868.4,1991.76,417.75,74.74,68.85,8.07,Loamy,5.8,5.28
Gujarat,District A,2018,Wheat,1185.4,5739.71,455.14,75.57,153.94,7.92,Clay,5.24,71.1
Gujarat,District A,2018,Rice,1158.6,2007.59,382.35,277.91,137.45,7.82,Clay,4.03,23.45
Gujarat,District A,2018,Maize,1221.0,3983.23,352.71,114.28,190.76,6.01,Peaty,2.38,0.98
Gujarat,District A,2018,Sugarcane,857.1,5191.25,183.73,110.22,43.38,7.65,Loamy,7.17,83.33
Gujarat,District A,2018,Cotton,874.9,4242.88,334.08,142.43,107.49,6.44,Sandy,8.0,73.88
Gujarat,District A,2019,Wheat,1839.4,3515.75,312.19,153.94,173.07,6.19,Peaty,4.99,58.59
Gujarat,District A,2019,Rice,1964.1,3895.37,462.13,70.76,54.39,6.82,Sandy,3.23,80.73
Gujarat,District A,2019,Maize,1644.5,3237.7,481.76,277.66,193.21,6.78,Silty,7.68,77.04
Gujarat,District A,2019,Sugarcane,1249.4,2873.47,489.5,215.84,93.48,6.34,Sandy,3.18,17.17
Gujarat,District A,2019,Cotton,1294.8,2804.94,351.56,79.48,137.89,6.35,Peaty,3.36,83.89
Gujarat,District A,2020,Wheat,548.5,3840.82,326.85,190.29,105.55,7.87,Peaty,3.8,61.57
Gujarat,District A,2020,Rice,1536.4,3318.67,450.15,153.87,92.5,5.61,Sandy,7.38,11.44
Gujarat,District A,2020,Maize,958.1,5015.66,246.37,110.4,141.0,6.09,Clay,9.49,79.51
Gujarat,District A,2020,Sugarcane,771.9,4704.04,253.98,150.57,160.99,8.39,Loamy,5.42,72.2
Gujarat,District A,2020,Cotton,1906.6,1910.63,107.8,251.43,39.47,8.46,Sandy,8.34,80.26
Gujarat,District A,2021,Wheat,1229.6,2843.03,355.24,122.04,62.48,7.69,Peaty,1.51,86.83
Gujarat,District A,2021,Rice,942.1,1508.15,189.53,135.11,198.38,7.07,Sandy,9.43,52.02
Gujarat,District A,2021,Maize,1047.2,5430.26,258.0,133.75,57.31,6.63,Peaty,3.61,57.72
Gujarat,District A,2021,Sugarcane,598.8,2360.8,262.96,284.24,87.91,7.49,Sandy,2.14,5.85
Gujarat,District A,2021,Cotton,958.1,2209.47,169.6,240.19,22.85,7.17,Sandy,4.3,10.61
Gujarat,District A,2022,Wheat,1533.0,5903.94,390.64,282.18,164.77,5.99,Peaty,9.08,34.99
Gujarat,District A,2022,Rice,1327.0,3117.94,150.32,197.33,114.53,6.11,Peaty,5.74,32.43
Gujarat,District A,2022,Maize,666.6,3492.44,201.3,277.31,38.32,5.65,Clay,7.39,67.73
Gujarat,District A,2022,Sugarcane,536.6,3352.86,233.18,217.35,58.9,7.27,Clay,8.18,92.15
Gujarat,District A,2022,Cotton,1967.8,1548.02,349.1,153.21,174.77,6.26,Sandy,3.95,21.02
Gujarat,District A,2023,Wheat,1246.5,3642.09,460.6,58.68,77.58,7.29,Silty,4.29,61.15
Gujarat,District A,2023,Rice,1544.0,3041.14,143.18,67.41,126.01,7.06,Loamy,5.59,42.24
Gujarat,District A,2023,Maize,1097.1,1619.01,234.22,294.01,177.24,6.49,Loamy,8.17,12.76
Gujarat,District A,2023,Sugarcane,1855.0,4525.25,459.01,161.79,98.65,7.85,Peaty,5.69,83.64
Gujarat,District A,2023,Cotton,1745.3,5802.6,379.31,101.94,23.65,6.94,Peaty,1.36,20.11
Gujarat,District A,2024,Wheat,767.9,3019.87,267.38,177.13,105.82,6.31,Peaty,8.74,94.58
Gujarat,District A,2024,Rice,1894.8,3216.37,131.46,92.97,30.66,5.82,Sandy,7.27,20.61
Gujarat,District A,2024,Maize,1161.8,1792.5,430.12,81.49,182.56,8.09,Peaty,8.23,43.18
Gujarat,District A,2024,Sugarcane,1678.7,3581.06,476.39,171.59,103.27,7.86,Clay,2.47,12.49
Gujarat,District A,2024,Cotton,540.0,1555.92,451.92,61.27,151.62,8.12,Loamy,6.82,83.0
Gujarat,District B,2015,Wheat,573.9,5335.97,319.36,99.33,77.11,6.35,Peaty,5.23,52.78
Gujarat,District B,2015,Rice,1999.6,5294.86,244.71,52.59,132.71,7.61,Silty,5.03,78.99
Gujarat,District B,2015,Maize,1427.5,2008.95,162.53,159.26,91.44,7.73,Clay,5.22,29.38
Gujarat,District B,2015,Sugarcane,916.0,3751.04,164.24,135.17,78.32,7.26,Silty,8.47,56.24
Gujarat,District B,2015,Cotton,1506.2,4663.92,216.59,167.59,192.12,7.8,Clay,7.72,17.56
Gujarat,District B,2016,Wheat,596.8,4099.48,243.13,118.86,165.3,6.6,Loamy,8.65,84.63
Gujarat,District B,2016,Rice,1034.5,5246.24,440.31,155.98,31.97,5.5,Clay,5.04,98.06
Gujarat,District B,2016,Maize,1025.4,3534.82,153.41,61.99,159.57,7.21,Sandy,2.35,57.18
Gujarat,District B,2016,Sugarcane,880.5,2526.28,104.61,82.59,75.67,5.85,Peaty,1.01,87.15
Gujarat,District B,2016,Cotton,545.6,4707.39,118.5,116.56,109.5,6.76,Peaty,5.05,2.21
Gujarat,District B,2017,Wheat,1461.1,3362.67,208.02,101.71,137.72,6.75,Peaty,6.29,26.13
Gujarat,District B,2017,Rice,1977.4,2893.78,196.78,119.62,181.37,7.41,Clay,4.97,94.5
Gujarat,District B,2017,Maize,712.4,4392.75,252.79,289.2,79.4,8.39,Sandy,5.79,63.87
Gujarat,District B,2017,Sugarcane,1930.0,1954.9,223.54,202.84,193.53,5.79,Silty,3.54,44.36
Gujarat,District B,2017,Cotton,756.7,5429.64,381.96,71.3,137.02,7.46,Peaty,1.03,24.79
Gujarat,District B,2018,Wheat,1891.7,5694.6,388.23,241.44,36.47,7.04,Loamy,2.63,81.03
Gujarat,District B,2018,Rice,702.6,3608.93,475.43,96.46,196.04,8.48,Peaty,2.25,2.23
Gujarat,District B,2018,Maize,1803.7,3993.58,343.49,281.75,139.72,7.57,Peaty,2.05,36.02
Gujarat,District B,2018,Sugarcane,1952.3,5653.19,453.63,163.02,174.29,5.65,Silty,3.27,95.59
Gujarat,District B,2018,Cotton,1884.9,3557.92,438.48,163.08,96.39,5.97,Loamy,5.39,69.76
Gujarat,District B,2019,Wheat,1294.8,3262.54,348.77,292.16,37.08,6.67,Clay,8.09,54.13
Gujarat,District B,2019,Rice,985.8,2113.13,455.03,167.69,178.06,7.26,Peaty,2.15,85.93
Gujarat,District B,2019,Maize,1392.2,3008.98,426.34,250.64,172.23,5.85,Peaty,1.82,64.82
Gujarat,District B,2019,Sugarcane,1119.8,3325.29,371.82,66.77,126.87,7.82,Peaty,6.98,41.94
Gujarat,District B,2019,Cotton,1948.1,4577.29,416.82,123.19,34.25,6.96,Peaty,5.03,27.44
Gujarat,District B,2020,Wheat,1089.8,3244.94,214.75,117.14,174.99,5.71,Clay,3.96,65.93
Gujarat,District B,2020,Rice,940.9,2471.12,163.45,128.17,39.06,5.56,Sandy,5.23,87.36
Gujarat,District B,2020,Maize,1644.2,3808.85,368.3,261.84,21.72,6.71,Peaty,7.66,54.28
Gujarat,District B,2020,Sugarcane,1294.5,3064.97,308.21,213.85,95.31,7.64,Loamy,8.91,48.77
Gujarat,District B,2020,Cotton,1446.0,1857.84,295.22,88.7,86.54,6.49,Peaty,9.94,10.61
Gujarat,District B,2021,Wheat,849.6,5776.71,483.33,74.43,22.7,5.98,Sandy,8.6,58.24
Gujarat,District B,2021,Rice,1979.1,4363.93,433.64,249.94,82.18,6.28,Clay,5.21,24.01
Gujarat,District B,2021,Maize,1841.9,3941.47,491.38,252.5,120.03,8.34,Clay,6.46,60.43
Gujarat,District B,2021,Sugarcane,1740.7,3412.51,210.18,116.26,116.51,6.85,Peaty,9.34,58.86
Gujarat,District B,2021,Cotton,1111.6,4430.3,407.19,290.18,109.92,5.84,Sandy,5.04,53.72
Gujarat,District B,2022,Wheat,805.3,2200.88,452.17,158.43,94.18,5.61,Silty,9.38,96.1
Gujarat,District B,2022,Rice,519.6,2272.65,361.51,56.37,31.45,6.16,Silty,5.91,3.43
Gujarat,District B,2022,Maize,755.6,3748.68,337.58,87.1,91.79,8.21,Peaty,8.27,17.62
Gujarat,District B,2022,Sugarcane,1409.3,3016.15,334.19,128.91,35.65,6.17,Loamy,5.71,2.45
Gujarat,District B,2022,Cotton,1686.1,1553.54,217.26,51.48,87.72,5.69,Silty,4.74,45.95
Gujarat,District B,2023,Wheat,1024.8,4323.78,413.76,212.04,154.68,8.22,Clay,7.51,80.6
Gujarat,District B,2023,Rice,934.2,4488.57,270.64,272.28,172.14,7.08,Peaty,3.33,90.07
Gujarat,District B,2023,Maize,1735.5,4572.27,380.3,231.67,189.67,8.0,Clay,4.63,21.47
Gujarat,District B,2023,Sugarcane,1034.0,2778.47,170.44,235.83,65.37,6.86,Sandy,9.84,39.11
Gujarat,District B,2023,Cotton,620.0,1904.22,336.3,199.84,95.38,6.8,Loamy,7.61,3.08
Gujarat,District B,2024,Wheat,1426.2,4922.98,292.29,282.89,147.42,7.74,Sandy,2.56,95.78
Gujarat,District B,2024,Rice,1781.9,2537.23,231.03,102.47,108.54,5.56,Peaty,8.25,25.32
Gujarat,District B,2024,Maize,873.4,4156.71,128.05,56.57,66.99,7.11,Peaty,8.62,49.04
Gujarat,District B,2024,Sugarcane,555.6,3908.64,381.92,134.79,39.99,6.34,Silty,4.16,81.2
Gujarat,District B,2024,Cotton,979.3,2236.0,274.34,163.07,22.9,5.85,Peaty,2.02,34.15
Gujarat,District C,2015,Wheat,1946.9,3791.5,351.02,139.1,78.23,5.57,Silty,5.56,12.65
Gujarat,District C,2015,Rice,1214.9,4936.27,203.31,170.2,198.56,7.56,Silty,4.73,76.79
Gujarat,District C,2015,Maize,560.8,2053.1,181.23,150.49,172.23,6.54,Sandy,3.65,8.64
Gujarat,District C,2015,Sugarcane,1639.1,2913.2,283.84,109.2,132.92,6.4,Loamy,4.75,38.54
Gujarat,District C,2015,Cotton,1301.4,5288.69,333.37,65.39,137.97,5.52,Loamy,9.49,4.19
Gujarat,District C,2016,Wheat,1254.6,4129.01,468.08,62.29,123.23,8.06,Peaty,8.89,1.9
Gujarat,District C,2016,Rice,1598.7,5699.01,362.88,159.76,28.08,8.26,Peaty,1.26,68.98
Gujarat,District C,2016,Maize,1222.8,2059.55,185.71,66.12,123.37,7.37,Clay,8.35,86.1
Gujarat,District C,2016,Sugarcane,1423.4,1557.4,378.09,154.5,121.8,7.45,Loamy,9.25,13.4
Gujarat,District C,2016,Cotton,1507.3,1519.62,469.86,78.13,37.08,6.5,Peaty,8.36,93.32
Gujarat,District C,2017,Wheat,1907.5,5613.7,318.57,139.05,21.31,5.68,Sandy,3.8,9.97
Gujarat,District C,2017,Rice,908.7,5243.03,492.19,173.46,21.75,5.92,Sandy,1.47,94.22
Gujarat,District C,2017,Maize,1290.8,2962.76,163.25,134.63,23.69,6.59,Clay,8.85,68.74
Gujarat,District C,2017,Sugarcane,667.4,2164.86,271.25,98.93,25.01,7.92,Sandy,5.63,82.92
Gujarat,District C,2017,Cotton,1165.7,4068.84,310.83,59.55,130.74,7.98,Clay,6.35,59.36
Gujarat,District C,2018,Wheat,746.3,2055.59,492.02,148.43,60.94,6.01,Loamy,6.79,8.8
Gujarat,District C,2018,Rice,1840.3,3251.7,225.35,165.59,90.21,8.09,Peaty,8.78,78.15
Gujarat,District C,2018,Maize,1896.2,2605.88,330.78,118.64,168.34,5.52,Peaty,8.88,2.66
Gujarat,District C,2018,Sugarcane,1343.0,2464.15,236.35,246.24,54.57,7.42,Clay,1.1,55.68
Gujarat,District C,2018,Cotton,1492.3,4163.61,394.51,192.83,32.02,5.85,Peaty,6.47,39.4
Gujarat,District C,2019,Wheat,898.0,2257.04,377.54,211.35,143.73,6.62,Peaty,7.79,64.87
Gujarat,District C,2019,Rice,1456.2,3990.42,104.56,224.13,87.69,8.33,Loamy,5.61,45.87
Gujarat,District C,2019,Maize,1463.5,4559.15,323.49,206.24,37.39,8.36,Peaty,9.8,10.79
Gujarat,District C,2019,Sugarcane,1897.9,5611.1,310.14,231.23,98.49,7.39,Sandy,5.79,40.23
Gujarat,District C,2019,Cotton,742.4,2032.59,404.27,281.88,102.49,7.48,Sandy,3.28,7.42
Gujarat,District C,2020,Wheat,655.7,5158.18,115.55,214.74,69.06,8.11,Silty,3.75,51.76
Gujarat,District C,2020,Rice,1072.9,4039.35,145.81,299.25,96.6,6.54,Loamy,3.2,56.04
Gujarat,District C,2020,Maize,532.6,3842.57,256.71,194.28,146.44,7.4,Sandy,2.31,31.63
Gujarat,District C,2020,Sugarcane,1964.1,2655.74,282.45,57.51,91.5,7.21,Silty,9.93,92.76
Gujarat,District C,2020,Cotton,961.6,2002.17,435.91,299.29,72.67,6.57,Clay,9.3,85.27
Gujarat,District C,2021,Wheat,1662.3,3267.31,301.75,166.08,65.61,7.02,Clay,2.19,88.66
Gujarat,District C,2021,Rice,1627.5,3402.91,306.86,142.5,153.34,7.85,Sandy,2.84,33.8
Gujarat,District C,2021,Maize,1204.8,2988.57,401.98,132.34,44.88,6.7,Peaty,8.22,4.14
Gujarat,District C,2021,Sugarcane,1068.3,1656.22,140.83,200.35,177.29,5.86,Silty,3.6,8.62
Gujarat,District C,2021,Cotton,1904.8,3201.88,330.56,248.0,78.38,7.65,Loamy,9.37,79.97
Gujarat,District C,2022,Wheat,1149.2,3718.85,206.24,226.09,164.5,6.22,Sandy,6.62,56.25
Gujarat,District C,2022,Rice,1103.2,4397.52,320.25,112.65,91.59,6.78,Peaty,9.65,89.3
Gujarat,District C,2022,Maize,1578.8,4132.47,375.7,284.78,65.0,7.11,Silty,5.69,26.86
Gujarat,District C,2022,Sugarcane,1664.9,3985.0,364.39,130.73,106.63,7.35,Silty,5.81,59.59
Gujarat,District C,2022,Cotton,547.0,2266.21,353.17,154.97,111.47,5.69,Loamy,5.9,54.35
Gujarat,District C,2023,Wheat,1245.7,2106.54,298.43,92.28,42.7,8.3,Peaty,3.86,24.01
Gujarat,District C,2023,Rice,1335.4,1987.02,473.32,133.38,59.41,6.99,Loamy,8.69,17.22
Gujarat,District C,2023,Maize,906.4,2785.32,208.36,263.85,25.74,5.73,Peaty,6.41,54.6
Gujarat,District C,2023,Sugarcane,1385.5,5705.93,103.43,61.95,54.47,6.0,Loamy,7.09,70.21
Gujarat,District C,2023,Cotton,1581.3,4778.12,100.02,288.48,166.56,8.21,Silty,5.99,84.32
Gujarat,District C,2024,Wheat,1221.5,2427.11,431.38,184.44,47.55,7.02,Loamy,9.51,44.29
Gujarat,District C,2024,Rice,1398.9,3643.52,473.14,69.02,110.2,7.56,Clay,4.38,24.16
Gujarat,District C,2024,Maize,1332.3,5082.84,101.51,207.84,127.37,6.45,Clay,9.2,84.66
Gujarat,District C,2024,Sugarcane,691.2,1918.64,335.71,183.03,67.95,8.2,Clay,5.51,52.08
Gujarat,District C,2024,Cotton,1172.6,2652.4,148.14,74.63,156.34,6.17,Clay,7.61,36.72
Haryana,District A,2015,Wheat,528.3,1952.39,298.49,222.49,80.25,7.59,Clay,5.62,13.92
Haryana,District A,2015,Rice,855.5,3515.89,175.55,117.15,116.19,8.0,Silty,6.7,24.85
Haryana,District A,2015,Maize,956.2,4968.67,230.89,110.55,50.43,7.82,Silty,5.08,50.69
Haryana,District A,2015,Sugarcane,1531.1,4349.78,424.29,61.19,73.36,6.34,Loamy,3.6,30.98
Haryana,District A,2015,Cotton,1282.8,4486.67,252.44,229.87,80.51,6.37,Sandy,1.21,7.98
Haryana,District A,2016,Wheat,1127.0,5743.11,388.6,72.03,172.34,7.7,Silty,8.38,40.41
Haryana,District A,2016,Rice,832.3,3804.11,319.54,184.58,121.71,8.35,Sandy,6.67,1.78
Haryana,District A,2016,Maize,1311.7,1898.19,110.55,247.8,66.56,6.52,Peaty,2.62,76.56
Haryana,District A,2016,Sugarcane,1240.3,5463.01,258.9,117.18,82.57,7.64,Sandy,4.31,55.53
Haryana,District A,2016,Cotton,649.9,5122.58,247.96,212.13,150.57,6.13,Loamy,9.9,46.24
Haryana,District A,2017,Wheat,611.5,5898.16,437.43,94.56,182.83,6.52,Sandy,4.97,71.65
Haryana,District A,2017,Rice,1079.7,2450.68,353.07,294.0,75.91,6.88,Silty,7.24,88.42
Haryana,District A,2017,Maize,1208.2,3223.09,200.46,201.05,178.37,6.47,Clay,2.01,34.77
Haryana,District A,2017,Sugarcane,1814.6,2407.45,131.3,247.03,170.39,5.99,Loamy,7.18,52.01
Haryana,District A,2017,Cotton,1745.4,3386.62,177.6,121.21,110.93,7.09,Peaty,8.12,58.14
Haryana,District A,2018,Wheat,1671.2,2362.98,120.03,268.41,33.6,6.24,Clay,6.89,92.26
Haryana,District A,2018,Rice,585.1,1632.64,171.3,296.61,148.71,7.34,Silty,8.91,81.28
Haryana,District A,2018,Maize,1497.2,3026.09,128.2,195.01,149.55,5.78,Sandy,7.88,53.96
Haryana,District A,2018,Sugarcane,693.6,3869.34,258.29,95.09,171.47,5.53,Loamy,1.11,9.6
Haryana,District A,2018,Cotton,945.6,1744.22,338.65,71.72,146.31,5.66,Sandy,1.99,46.78
Haryana,District A,2019,Wheat,606.3,4191.82,205.76,181.91,113.14,8.27,Loamy,6.25,40.17
Haryana,District A,2019,Rice,1923.6,4997.34,214.16,261.05,97.83,7.99,Loamy,9.32,35.42
Haryana,District A,2019,Maize,1492.5,5997.73,205.23,194.02,145.36,5.99,Loamy,7.43,6.95
Haryana,District A,2019,Sugarcane,1958.2,1564.25,340.53,190.66,44.25,5.95,Sandy,5.04,62.62
Haryana,District A,2019,Cotton,719.6,2350.18,443.77,114.06,88.44,8.11,Sandy,9.91,7.59
Haryana,District A,2020,Wheat,1492.7,3517.03,278.64,164.41,66.56,7.65,Peaty,9.18,51.22
Haryana,District A,2020,Rice,1040.2,3592.66,375.96,271.0,57.26,8.25,Peaty,9.81,88.03
Haryana,District A,2020,Maize,919.9,1976.8,144.9,122.81,130.55,7.91,Clay,1.96,8.23
Haryana,District A,2020,Sugarcane,504.1,3446.71,301.31,209.42,73.29,7.63,Peaty,2.61,64.71
Haryana,District A,2020,Cotton,1196.4,3728.93,271.08,289.0,58.65,7.05,Loamy,9.55,98.04
Haryana,District A,2021,Wheat,1318.2,5775.31,171.78,56.36,27.09,7.26,Silty,5.9,53.23
Haryana,District A,2021,Rice,613.8,4641.97,349.51,97.25,104.5,7.66,Sandy,2.96,25.42
Haryana,District A,2021,Maize,1236.0,5847.45,432.9,121.15,85.41,6.89,Silty,1.85,98.89
Haryana,District A,2021,Sugarcane,1923.6,1852.24,473.37,140.78,172.05,6.76,Clay,6.44,67.07
Haryana,District A,2021,Cotton,1403.8,1820.95,127.69,102.6,72.25,7.86,Loamy,1.4,39.4
Haryana,District A,2022,Wheat,1124.6,3529.08,430.76,74.5,146.71,6.51,Loamy,6.74,64.53
Haryana,District A,2022,Rice,1740.1,1981.14,301.9,224.27,125.63,8.0,Sandy,7.22,53.4
Haryana,District A,2022,Maize,1068.7,3031.24,348.33,272.75,109.31,7.97,Loamy,8.85,15.59
Haryana,District A,2022,Sugarcane,809.7,4593.18,240.97,228.25,48.39,6.26,Clay,2.99,27.43
Haryana,District A,2022,Cotton,1321.4,2150.32,153.58,285.95,164.76,6.04,Silty,4.2,79.1
Haryana,District A,2023,Wheat,1265.3,2075.32,395.6,149.22,67.33,6.63,Loamy,1.58,5.5
Haryana,District A,2023,Rice,781.0,5592.57,308.0,246.99,61.01,6.97,Sandy,7.97,81.38
Haryana,District A,2023,Maize,1240.3,2424.16,394.89,224.93,64.33,8.21,Clay,9.75,85.03
Haryana,District A,2023,Sugarcane,1559.6,2807.16,166.07,280.36,96.15,6.34,Clay,4.51,74.16
Haryana,District A,2023,Cotton,1079.7,2986.32,338.14,268.05,28.56,6.66,Clay,8.59,68.84
Haryana,District A,2024,Wheat,942.3,5610.36,210.22,250.2,185.29,7.31,Loamy,8.13,19.32
Haryana,District A,2024,Rice,1501.9,1920.61,303.14,90.56,94.94,8.0,Peaty,6.31,20.06
Haryana,District A,2024,Maize,931.0,2228.53,199.72,106.22,113.5,7.19,Loamy,9.12,91.75
Haryana,District A,2024,Sugarcane,1896.0,2717.01,260.14,267.6,84.65,7.3,Sandy,7.7,4.75
Haryana,District A,2024,Cotton,828.9,4678.05,413.06,163.83,145.65,6.66,Loamy,4.82,42.5
Haryana,District B,2015,Wheat,711.2,3809.57,334.87,169.12,78.63,7.66,Silty,3.82,81.99
Haryana,District B,2015,Rice,1330.9,3527.62,214.21,124.51,88.96,8.01,Sandy,1.98,65.98
Haryana,District B,2015,Maize,978.6,4952.31,182.77,275.06,114.14,5.84,Sandy,8.28,78.07
Haryana,District B,2015,Sugarcane,822.5,4720.36,420.02,136.53,51.07,5.51,Sandy,8.79,50.0
Haryana,District B,2015,Cotton,711.4,2480.57,359.07,155.44,46.42,6.94,Peaty,7.61,7.36
Haryana,District B,2016,Wheat,1443.7,5068.55,153.06,179.66,160.23,6.28,Peaty,9.7,82.1
Haryana,District B,2016,Rice,806.7,2337.74,150.26,84.59,154.67,6.91,Peaty,7.72,60.46
Haryana,District B,2016,Maize,1529.5,1582.6,224.71,209.46,21.68,5.6,Silty,5.66,83.18
Haryana,District B,2016,Sugarcane,1489.1,3071.22,368.13,210.61,187.58,8.02,Loamy,1.96,49.19
Haryana,District B,2016,Cotton,1652.7,2497.41,207.8,110.68,198.5,6.09,Sandy,9.45,0.19
Haryana,District B,2017,Wheat,1588.7,4456.79,392.92,138.85,167.69,5.63,Peaty,9.87,18.04
Haryana,District B,2017,Rice,1649.0,3024.61,170.25,155.34,162.89,6.89,Silty,4.59,61.54
Haryana,District B,2017,Maize,1047.9,3267.54,378.26,284.47,117.62,7.81,Silty,6.82,3.31
Haryana,District B,2017,Sugarcane,501.7,1854.68,405.2,196.14,26.86,6.96,Silty,6.16,92.58
Haryana,District B,2017,Cotton,1468.0,3366.31,472.14,246.22,56.0,5.89,Sandy,6.04,78.97
Haryana,District B,2018,Wheat,1608.2,4313.45,494.55,183.4,40.36,7.98,Clay,3.64,87.78
Haryana,District B,2018,Rice,1647.3,1599.7,300.69,118.67,136.76,7.66,Peaty,7.11,19.84
Haryana,District B,2018,Maize,1241.0,5062.38,290.28,184.16,158.8,7.48,Silty,2.46,99.55
Haryana,District B,2018,Sugarcane,678.3,1567.27,456.01,111.24,151.35,7.93,Clay,8.09,40.87
Haryana,District B,2018,Cotton,1735.0,4562.72,415.99,253.8,35.25,7.37,Sandy,5.53,64.6
Haryana,District B,2019,Wheat,1959.3,1750.81,329.58,265.76,106.65,5.74,Peaty,2.39,40.03
Haryana,District B,2019,Rice,1049.7,4018.09,366.2,294.58,151.11,7.43,Peaty,2.78,91.08
Haryana,District B,2019,Maize,761.9,2787.27,306.73,115.84,57.78,7.3,Peaty,5.47,41.84
Haryana,District B,2019,Sugarcane,1667.8,4804.82,329.83,255.57,121.28,8.39,Clay,7.06,89.13
Haryana,District B,2019,Cotton,1705.8,2328.18,218.37,229.26,35.17,7.94,Silty,7.73,79.41
Haryana,District B,2020,Wheat,1953.4,4079.75,188.1,265.55,153.69,6.74,Clay,4.7,92.99
Haryana,District B,2020,Rice,1015.3,5835.68,464.11,207.63,124.37,6.61,Sandy,2.15,75.42
Haryana,District B,2020,Maize,1207.3,2174.27,205.58,286.96,86.08,8.22,Peaty,8.83,60.49
Haryana,District B,2020,Sugarcane,1421.1,3893.6,136.74,161.25,199.91,8.01,Silty,8.41,10.3
Haryana,District B,2020,Cotton,841.2,1514.05,221.4,77.15,105.1,7.53,Peaty,7.09,19.89
Haryana,District B,2021,Wheat,619.6,5266.6,131.56,72.84,96.93,5.9,Loamy,5.6,44.01
Haryana,District B,2021,Rice,1268.6,4527.21,254.85,112.83,49.92,6.55,Loamy,7.51,80.16
Haryana,District B,2021,Maize,1687.6,5899.53,414.67,242.48,174.35,5.5,Silty,6.09,71.55
Haryana,District B,2021,Sugarcane,664.4,4873.32,154.35,66.66,195.69,8.37,Sandy,4.99,18.62
Haryana,District B,2021,Cotton,1228.0,5235.8,480.24,208.56,83.7,7.31,Silty,4.95,95.32
Haryana,District B,2022,Wheat,1412.3,2490.0,291.69,218.85,78.25,5.74,Clay,3.93,47.11
Haryana,District B,2022,Rice,1728.1,2060.76,443.06,274.38,190.41,6.69,Silty,2.62,91.44
Haryana,District B,2022,Maize,1626.7,5700.19,226.83,284.83,86.33,5.66,Sandy,8.97,72.9
Haryana,District B,2022,Sugarcane,1891.7,2996.95,301.28,53.52,21.25,6.22,Peaty,9.69,60.41
Haryana,District B,2022,Cotton,1623.9,5713.56,336.64,53.02,26.17,7.61,Peaty,9.04,65.39
Haryana,District B,2023,Wheat,1508.4,1524.03,493.95,269.46,181.12,7.48,Silty,2.87,31.12
Haryana,District B,2023,Rice,1655.0,5400.44,307.69,298.31,22.08,6.4,Clay,6.57,23.21
Haryana,District B,2023,Maize,501.4,4907.18,494.08,252.48,102.84,8.21,Peaty,5.61,13.69
Haryana,District B,2023,Sugarcane,1011.5,2344.78,428.48,278.69,116.65,7.68,Peaty,6.48,70.28
Haryana,District B,2023,Cotton,1179.2,2594.73,450.95,235.73,181.97,7.96,Peaty,8.27,63.56
Haryana,District B,2024,Wheat,955.6,5923.25,209.65,100.66,99.59,5.67,Sandy,9.18,2.12
Haryana,District B,2024,Rice,1022.0,4735.47,406.77,154.03,23.04,7.35,Silty,7.82,22.7
Haryana,District B,2024,Maize,831.9,2226.38,248.8,261.75,169.02,6.65,Loamy,3.39,30.26
Haryana,District B,2024,Sugarcane,903.2,3895.11,342.74,172.19,93.44,6.13,Silty,3.0,26.12
Haryana,District B,2024,Cotton,1267.9,2938.28,167.05,115.72,26.43,7.61,Clay,6.63,25.26
Haryana,District C,2015,Wheat,1503.4,4861.54,466.37,289.53,21.89,8.47,Clay,1.66,82.11
Haryana,District C,2015,Rice,1239.6,5310.52,340.3,220.46,198.83,6.2,Sandy,4.96,12.33
Haryana,District C,2015,Maize,1229.7,4313.48,430.95,219.66,31.74,6.42,Peaty,5.22,92.46
Haryana,District C,2015,Sugarcane,1096.4,4312.15,411.93,245.98,113.47,8.07,Silty,5.32,17.74
Haryana,District C,2015,Cotton,1216.2,3725.69,295.97,184.69,66.38,6.6,Clay,9.11,83.39
Haryana,District C,2016,Wheat,1330.3,4272.5,289.73,147.92,184.79,5.88,Silty,4.64,44.55
Haryana,District C,2016,Rice,1810.5,3578.25,108.48,106.87,105.61,6.77,Clay,1.58,76.27
Haryana,District C,2016,Maize,1141.2,4319.9,391.04,219.83,104.69,6.66,Silty,2.33,9.66
Haryana,District C,2016,Sugarcane,520.1,3402.85,175.04,55.41,113.6,7.54,Silty,3.04,92.93
Haryana,District C,2016,Cotton,1576.2,4931.94,180.58,108.55,113.83,6.02,Silty,8.66,42.74
Haryana,District C,2017,Wheat,1943.0,4753.05,357.83,232.09,106.06,7.02,Sandy,3.98,11.87
Haryana,District C,2017,Rice,1355.6,5578.59,413.62,205.63,76.71,7.13,Loamy,3.62,28.29
Haryana,District C,2017,Maize,857.4,5438.05,447.19,207.74,105.14,7.52,Loamy,2.74,26.18
